company,count
Amazon,690
Google,553
Facebook,411
Microsoft,355
Bloomberg,220
Apple,211
Adobe,119
Oracle,113
Uber,112
ByteDance,107
Goldman Sachs,70
LinkedIn,68
eBay,53
Twitter,43
Expedia,27
Paypal,26
Yandex,25
Cisco,23
VMware,23
Snapchat,23
